year,Cottonwood,Rock,Murray,Lincoln,Pipestone,Redwood,Jackson,Lyon,Nobles
2019,4008487,4810361,19472504,21547364,11705589,9029749,10757147,25753848,15448010
2018,7389199,2829008,8376882,1025405,2219272,15516778,9471344,4104464,7764786
2017,544652,458274,773092,3993934,838215,632191,239369,3221257,1419286
2016,155724,181561,194829,24563,15163,3424073,1487835,219263,838775
2015,94433,109980,51169,259352,56564,334379,49368,179700,97982
2014,12352602,27402476,23912384,9793691,12557560,28684661,22428896,23475205,28310838
2013,15257946,7499364,11793081,8757232,3539600,27789107,17635519,27383868,17820349
2012,6363269,7520794,5350312,3611790,7020632,6099376,1037880,7498628,11201710
2011,1097923,461729,983943,3057161,2148831,5974671,741062,4732166,530038
2010,236101,19032,60572,1071204,185862,148634,305375,1403402,31736
2009,107825,129217,59791,809555,395781,603125,56455,393746,202136
2008,3251336,630077,1838136,5428700,1674840,4974011,4533166,8518142,2270286
2007,768378,1432391,867293,539629,2164135,2176865,438152,1988229,2185360
2006,167558,53245,46057,810109,406967,190795,348453,579649,159922
2005,147420,2447,55347,36589,33963,387011,197760,15475,14509
2004,233954,971189,1824598,1716399,1089812,1353187,245732,875814,346264
2003,378443,136825,88234,104992,154858,300599,12598,106802,323481
2002,461474,644702,338299,344711,358271,276441,507313,124567,1401598
2001,1079338,406685,920806,329940,218145,1293058,2852169,689559,2332760
