State Abbrv|Commodity Name|Reinsurance Year|Policies Sold|Policies Earning Prem|Policies Indemnified|Units Earning Prem|Units Indemnified|Quantity|Quantity Type|Companion/Endorsed Acres|Liabilities ($)|Total Prem ($)|Subsidy ($)|Indemnity ($)|EFA Prem Discount ($)|Addnl Subsidy ($)|State Subsidy ($)|Earn Prem Rate|Loss Ratio
MN|CORN|1989|36082|34118|5327|58243|6012|3636508.000000|Acres|0.000000|557075445|38061807|10544102|14790038|0|0|0|0.068324|0.388579
MN|CORN|1990|33881|31024|2015|59937|2500|3500417.000000|Acres|0.000000|509106773|34528794|9639750|4156039|0|0|0|0.067822|0.120364
MN|CORN|1991|24601|21504|2481|43454|3183|2458209.000000|Acres|0.000000|376586242|23470246|6633468|7849567|0|0|0|0.062323|0.334447
MN|CORN|1992|21004|18875|4308|40949|6517|2423508.000000|Acres|0.000000|381709764|22415884|6357985|23615777|0|0|0|0.058724|1.053528
MN|CORN|1993|23940|22053|18506|44247|35168|2628643.000000|Acres|0.000000|371315685|21659463|6198193|179176641|0|0|0|0.058331|8.272441
MN|CORN|1994|39180|34333|1705|69321|2117|4410054.000000|Acres|0.000000|630721167|39223851|11197110|3503086|0|0|0|0.062188|0.089310
MN|CORN|1995|48770|44534|3053|82479|4008|5910882.000000|Acres|0.000000|746492843|47285088|24216058|9750494|0|0|0|0.063342|0.206206
MN|CORN|1996|45409|39406|2498|78527|3370|5964817.000000|Acres|0.000000|955116828|61142200|30642772|10250312|0|0|0|0.064015|0.167647
MN|CORN|1997|41465|36471|1370|73507|1886|5599518.000000|Acres|0.000000|882757303|56513886|26473529|7320941|0|0|0|0.064019|0.129542
MN|CORN|1998|41105|35886|1344|74881|1701|5951006.000000|Acres|0.000000|1059034110|67276469|30483268|7244907|0|0|0|0.063526|0.107688
MN|CORN|1999|40721|34825|3528|75493|5274|5798640.000000|Acres|0.000000|960654591|70007253|24803766|10487449|14326852|0|0|0.072874|0.149805
MN|CORN|2000|41116|34720|2523|78143|3538|6094279.000000|Acres|0.000000|1093857417|80844249|23096058|13103285|14446166|0|0|0.073907|0.162080
MN|CORN|2001|40369|33232|9970|75704|16439|5893743.000000|Acres|0.000000|1158036453|92634870|53928641|71046701|0|0|0|0.079993|0.766954
MN|CORN|2002|39668|32816|2587|77861|3475|6154455.000000|Acres|0.000000|1244362784|99936650|56506475|10838670|0|0|0|0.080311|0.108455
MN|CORN|2003|38583|32068|4854|77167|7653|6226355.000000|Acres|0.000000|1348818493|113168313|64238203|28510630|0|0|0|0.083901|0.251931
MN|CORN|2004|38453|32055|8411|78827|16149|6526644.000000|Acres|0.000000|1700746640|148327691|84396517|92448739|0|0|53938|0.087213|0.623273
MN|CORN|2005|37750|31099|4054|76952|6241|6426284.000000|Acres|0.000000|1437917875|119529536|67337577|24059753|0|0|54385|0.083126|0.201287
MN|CORN|2006|37426|30320|4621|76207|7509|6464147.000000|Acres|0.000000|1654726957|134499829|75316144|39745037|0|0|0|0.081282|0.295502
MN|CORN|2007|38121|32035|9513|84815|17554|7617370.000000|Acres|0.000000|3309739718|312528139|170795540|166349926|0|0|0|0.094426|0.532271
MN|CORN|2008|38911|31439|13980|81030|30228|7045164.000000|Acres|0.000000|4069092954|388968380|216246154|270648069|0|0|0|0.095590|0.695809
MN|CORN|2009|39197|31475|2366|60956|3270|7046908.000000|Acres|0.000000|3228863662|317824746|195858102|45967544|0|0|0|0.098432|0.144631
MN|CORN|2010|39040|30728|1677|56875|2187|7028664.000000|Acres|0.000000|3256440995|251180634|157306656|22079735|0|0|0|0.077133|0.087903
MN|Corn|2011|39669|32073|6755|56260|9679|7636852.000000|Acres|0.000000|5455347808|446237517|280359570|178498537|0|0|0|0.081798|0.400007
MN|Corn|2012|41142|33986|6920|56397|9203|8202383.000000|Acres|0.000000|6085548494|458635223|287217117|164386079|0|0|0|0.075364|0.358424
MN|Corn|2013|42536|35440|25339|58323|38816|8656370.000000|Acres|0.000000|6362389964|473304432|286815947|1094572364|0|0|0|0.074390|2.312618
MN|Corn|2014|43061|33879|27995|54026|43537|7887970.000000|Acres|0.000000|4966116530|343331218|202655647|1046282538|0|0|0|0.069134|3.047443
MN|Corn|2015|43240|33263|1848|50968|2392|7613045.000000|Acres|989.000000|4407604911|329238495|196593410|23639704|0|0|0|0.074697|0.071801
MN|Corn|2016|42651|32990|2954|50572|3656|7972791.000000|Acres|520.000000|4327253589|294069024|179443863|30533286|0|0|0|0.067957|0.103830
MN|Corn|2017|42180|32125|4239|48054|5353|7628124.000000|Acres|832.000000|4338503886|303108161|186448216|53264168|0|0|0|0.069864|0.175726
MN|Corn|2018|41798|31159|8960|46518|12466|7479132.000000|Acres|25514.000000|4373950962|263127932|162254959|177281347|0|0|0|0.060157|0.673745
MN|Corn|2019|41956|32176|14925|50351|21063|8202055.000000|Acres|119141.000000|4649749168|305659062|187883470|469730593|0|0|0|0.065736|1.536779
MN|Corn|2020|41540|0|0|0|0|0.000000|Acres|0.000000|0|0|0|0|0|0|0|0.000000|0.000000
